ID_CLIENTE,TRANSCRICAO_LIGACAO_CLIENTE,DATETIME_TRANSCRICAO_LIGACAO
CLI004,"Boa tarde, já tomei a decisão. A concorrente instalou a fibra na minha rua e o preço é muito melhor. Meu plano com vocês não está atendendo mais minhas necessidades e o preço está alto demais. Quero cancelar meu contrato.",2025-10-21 12:44:59
CLI005,"Olá, estou ligando porque minha internet está extremamente lenta faz mais de uma semana. Fiz vários testes e a velocidade está muito abaixo do contratado. Já reiniciei o roteador várias vezes. Ninguém conseguiu resolver meu problema até agora. Estou muito frustrado com o serviço. Quero uma solução definitiva.",2025-08-18 15:24:17
CLI005,"Boa tarde, eu já liguei antes sobre a lentidão da internet. Vocês mandaram um técnico que disse que estava tudo ok, mas o problema continua. Minha internet cai todo dia, principalmente à noite. Isso está afetando meu trabalho home office. Preciso de uma solução definitiva urgente.",2025-08-19 19:35:14
CLI005,"Estou ligando novamente sobre o problema técnico que nunca foi resolvido. Já é a terceira vez que ligo. Ficam me passando de setor em setor e ninguém resolve. A internet cai várias vezes ao dia, perco reuniões importantes. Estou seriamente pensando em cancelar o contrato.",2025-08-23 13:53:49
CLI005,"Olá, é a quarta vez que ligo sobre o mesmo problema. A internet ainda está instável, com quedas frequentes. Já pedi visita técnica duas vezes e o problema não foi resolvido. Paguei pelo serviço que não está funcionando. Isso é inaceitável. Quero um posicionamento definitivo senão vou cancelar. Já estou muito cansado de ligar.",2025-09-01 11:52:02
CLI005,"Boa tarde, liguei várias vezes e o problema persiste até hoje. Minha internet está completamente instável. Não consigo trabalhar, fazer videoconferências, nem usar streaming. Quero cancelar meu contrato imediatamente. Nunca mais vou indicar esta empresa para ninguém. Estou muito insatisfeito. Isso está me causando muitos prejuízos.",2025-10-08 14:17:04
CLI005,"Olá, quero registrar mais uma reclamação. A internet caiu novamente hoje e fica caindo toda semana. Vocês prometeram resolver mas nunca resolvem. Já estou procurando outras operadoras. Quero o contato do SAC. Quero uma solução definitiva.",2025-10-18 17:56:45
CLI005,"Olá, estou ligando porque minha internet está extremamente lenta faz mais de uma semana. Fiz vários testes e a velocidade está muito abaixo do contratado. Já reiniciei o roteador várias vezes. Ninguém conseguiu resolver meu problema até agora. Estou muito frustrado com o serviço. Isso está me causando muitos prejuízos.",2025-10-30 11:41:31
CLI006,"Bom dia, estou ligando porque recebi uma fatura com valor muito acima do que contratei. Há cobranças que eu não reconheço. Já tentei resolver pelo aplicativo mas não consegui. Preciso que me expliquem essas cobranças indevidas. Quero uma solução definitiva.",2025-08-27 11:47:35
CLI006,"Boa tarde, já liguei no mês passado sobre a fatura errada e disseram que iam corrigir, mas essa mês vieram as mesmas cobranças indevidas novamente. Estou pagando por serviços que não contratei. Isso é um absurdo. Quero estorno imediato. Vou avaliar outras opções.",2025-09-20 12:47:37
CLI006,"Olá, quero falar sobre os reajustes absurdos na minha conta. A mensalidade aumentou mais de 30% sem me avisar corretamente. Outros operadores estão oferecendo o mesmo serviço por muito menos. Não tenho como continuar pagando esse valor. Preciso de uma proposta de redução. Preciso de retorno urgente.",2025-10-15 17:25:23
CLI006,Estou muito insatisfeito com a cobrança indevida que continua aparecendo na minha fatura. Já reclamei três vezes e nada foi resolvido. Vou pagar só o valor correto e quero cancelar os serviços adicionais que nunca solicitei. Quero uma solução definitiva.,2025-10-30 10:32:31
CLI007,"Bom dia, vou me mudar para outro bairro e gostaria de saber se vocês atendem a região. Preciso transferir meu contrato ou instalar um novo ponto no novo endereço.",2025-11-08 10:50:43
CLI007,"Boa tarde, já entrei em contato antes sobre a mudança de endereço. Meu novo endereço não tem cobertura de vocês. Preciso cancelar meu contrato pois vou para uma região que vocês não atendem. Preciso de retorno urgente.",2025-11-13 17:04:24
CLI007,"Olá, preciso cancelar meu serviço. Me mudei para outro município e infelizmente a empresa não tem cobertura no meu novo endereço. Foi uma boa experiência mas não tenho como continuar. Preciso de retorno urgente.",2025-11-21 17:29:33
CLI008,"Olá, liguei no dia 15 e o atendente desligou o telefone na minha cara. Já faz duas semanas que ninguém entrou em contato para resolver minha reclamação. Sinto que a empresa não se importa com os clientes. Estou muito decepcionado. Isso está me causando muitos prejuízos.",2025-08-26 09:18:27
CLI008,"Boa tarde, estou ligando para reclamar do atendimento que recebi na semana passada. O atendente foi extremamente grosseiro e não quis me ajudar. Fiquei mais de uma hora esperando e ao final nada foi resolvido. Isso é inadmissível. Vou avaliar outras opções.",2025-08-26 12:49:41
CLI008,"Boa tarde, estou há mais de um mês tentando resolver um problema simples e cada vez que ligo preciso explicar tudo do zero. Nenhum atendente registra o histórico. É extremamente desgastante. Preciso falar com um supervisor urgente. Quero uma solução definitiva.",2025-09-12 15:00:46
CLI008,Estou perdendo a paciência. Já liguei cinco vezes e cada hora uma informação diferente. Ninguém sabe o que está acontecendo com minha solicitação. O atendimento é péssimo. Vou registrar reclamação no Procon se não resolverem hoje.,2025-11-07 12:32:48
CLI008,"Boa tarde, minha última experiência de atendimento foi horrível. Fui transferido quatro vezes, fiquei 2 horas no telefone e no final disseram que não podiam me ajudar. Quero cancelar tudo. Nunca fui tão mal atendido em minha vida. Quero uma solução definitiva.",2025-11-20 16:58:06
CLI009,"Olá, estou ligando porque minha internet está extremamente lenta faz mais de uma semana. Fiz vários testes e a velocidade está muito abaixo do contratado. Já reiniciei o roteador várias vezes. Ninguém conseguiu resolver meu problema até agora. Estou muito frustrado com o serviço. Quero uma solução definitiva.",2025-08-13 13:48:10
CLI009,"Boa tarde, eu já liguei antes sobre a lentidão da internet. Vocês mandaram um técnico que disse que estava tudo ok, mas o problema continua. Minha internet cai todo dia, principalmente à noite. Isso está afetando meu trabalho home office. Preciso de uma solução definitiva urgente. Vou avaliar outras opções.",2025-08-14 16:58:00
CLI009,"Estou ligando novamente sobre o problema técnico que nunca foi resolvido. Já é a terceira vez que ligo. Ficam me passando de setor em setor e ninguém resolve. A internet cai várias vezes ao dia, perco reuniões importantes. Estou seriamente pensando em cancelar o contrato. Vou avaliar outras opções.",2025-08-17 13:31:01
CLI009,"Olá, é a quarta vez que ligo sobre o mesmo problema. A internet ainda está instável, com quedas frequentes. Já pedi visita técnica duas vezes e o problema não foi resolvido. Paguei pelo serviço que não está funcionando. Isso é inaceitável. Quero um posicionamento definitivo senão vou cancelar. Já estou muito cansado de ligar.",2025-08-30 13:56:53
CLI009,"Boa tarde, liguei várias vezes e o problema persiste até hoje. Minha internet está completamente instável. Não consigo trabalhar, fazer videoconferências, nem usar streaming. Quero cancelar meu contrato imediatamente. Nunca mais vou indicar esta empresa para ninguém. Estou muito insatisfeito. Isso está me causando muitos prejuízos.",2025-09-25 11:03:15
CLI009,"Olá, quero registrar mais uma reclamação. A internet caiu novamente hoje e fica caindo toda semana. Vocês prometeram resolver mas nunca resolvem. Já estou procurando outras operadoras. Quero o contato do SAC. Vou avaliar outras opções.",2025-10-08 09:05:46
CLI010,"Bom dia, estou passando por dificuldades financeiras e preciso cancelar alguns serviços. Gostaria de reduzir meu plano para algo mais básico e acessível no momento. Quero uma solução definitiva.",2025-09-07 10:42:30
CLI010,"Boa tarde, estou desempregado há dois meses e não consigo mais pagar o plano atual. Preciso cancelar ou encontrar uma opção mais barata urgentemente. Vou avaliar outras opções.",2025-11-06 10:16:33
CLI011,"Oi, estou ligando porque recebi uma proposta muito interessante de outra operadora com o dobro da velocidade pelo mesmo preço que pago aqui. Queria saber se vocês conseguem fazer uma contraproposta antes de eu cancelar.",2025-08-17 19:12:45
CLI011,"Bom dia, a operadora X está me oferecendo fibra óptica com muito mais velocidade e desconto especial para os três primeiros meses. O serviço de vocês já está me decepcionando há tempos. Quero saber o que vocês oferecem para me manter como cliente. Isso está me causando muitos prejuízos.",2025-08-25 14:42:41
CLI011,"Boa tarde, já tomei a decisão. A concorrente instalou a fibra na minha rua e o preço é muito melhor. Meu plano com vocês não está atendendo mais minhas necessidades e o preço está alto demais. Quero cancelar meu contrato. Isso está me causando muitos prejuízos.",2025-09-09 15:57:33
CLI011,Estou ligando para cancelar definitivamente. A outra operadora já fez a instalação e estou muito mais satisfeito. A velocidade é muito superior e o custo menor. Não tenho mais interesse em continuar com vocês. Preciso de retorno urgente.,2025-10-06 09:15:14
CLI012,"Olá, estou ligando porque minha internet está extremamente lenta faz mais de uma semana. Fiz vários testes e a velocidade está muito abaixo do contratado. Já reiniciei o roteador várias vezes. Ninguém conseguiu resolver meu problema até agora. Estou muito frustrado com o serviço. Vou avaliar outras opções.",2025-09-13 11:00:04
CLI012,"Boa tarde, eu já liguei antes sobre a lentidão da internet. Vocês mandaram um técnico que disse que estava tudo ok, mas o problema continua. Minha internet cai todo dia, principalmente à noite. Isso está afetando meu trabalho home office. Preciso de uma solução definitiva urgente.",2025-09-18 18:03:14
CLI012,"Estou ligando novamente sobre o problema técnico que nunca foi resolvido. Já é a terceira vez que ligo. Ficam me passando de setor em setor e ninguém resolve. A internet cai várias vezes ao dia, perco reuniões importantes. Estou seriamente pensando em cancelar o contrato. Já estou muito cansado de ligar.",2025-10-15 08:55:21
CLI012,"Olá, é a quarta vez que ligo sobre o mesmo problema. A internet ainda está instável, com quedas frequentes. Já pedi visita técnica duas vezes e o problema não foi resolvido. Paguei pelo serviço que não está funcionando. Isso é inaceitável. Quero um posicionamento definitivo senão vou cancelar. Já estou muito cansado de ligar.",2025-10-29 16:15:17
CLI012,"Boa tarde, liguei várias vezes e o problema persiste até hoje. Minha internet está completamente instável. Não consigo trabalhar, fazer videoconferências, nem usar streaming. Quero cancelar meu contrato imediatamente. Nunca mais vou indicar esta empresa para ninguém. Estou muito insatisfeito.",2025-11-25 15:13:34
CLI013,"Boa tarde, já liguei no mês passado sobre a fatura errada e disseram que iam corrigir, mas essa mês vieram as mesmas cobranças indevidas novamente. Estou pagando por serviços que não contratei. Isso é um absurdo. Quero estorno imediato. Quero uma solução definitiva.",2025-09-13 09:06:42
CLI013,"Bom dia, estou ligando porque recebi uma fatura com valor muito acima do que contratei. Há cobranças que eu não reconheço. Já tentei resolver pelo aplicativo mas não consegui. Preciso que me expliquem essas cobranças indevidas. Quero uma solução definitiva.",2025-09-13 15:51:26
CLI013,"Olá, quero falar sobre os reajustes absurdos na minha conta. A mensalidade aumentou mais de 30% sem me avisar corretamente. Outros operadores estão oferecendo o mesmo serviço por muito menos. Não tenho como continuar pagando esse valor. Preciso de uma proposta de redução. Preciso de retorno urgente.",2025-09-26 13:27:26
CLI014,"Boa tarde, estou ligando para reclamar do atendimento que recebi na semana passada. O atendente foi extremamente grosseiro e não quis me ajudar. Fiquei mais de uma hora esperando e ao final nada foi resolvido. Isso é inadmissível. Já estou muito cansado de ligar.",2025-08-21 08:25:46
CLI014,"Olá, liguei no dia 15 e o atendente desligou o telefone na minha cara. Já faz duas semanas que ninguém entrou em contato para resolver minha reclamação. Sinto que a empresa não se importa com os clientes. Estou muito decepcionado. Isso está me causando muitos prejuízos.",2025-08-24 09:15:12
CLI014,"Boa tarde, estou há mais de um mês tentando resolver um problema simples e cada vez que ligo preciso explicar tudo do zero. Nenhum atendente registra o histórico. É extremamente desgastante. Preciso falar com um supervisor urgente. Quero uma solução definitiva.",2025-08-25 16:28:08
CLI014,Estou perdendo a paciência. Já liguei cinco vezes e cada hora uma informação diferente. Ninguém sabe o que está acontecendo com minha solicitação. O atendimento é péssimo. Vou registrar reclamação no Procon se não resolverem hoje. Preciso de retorno urgente.,2025-11-09 10:17:29
CLI015,"Olá, estou ligando porque minha internet está extremamente lenta faz mais de uma semana. Fiz vários testes e a velocidade está muito abaixo do contratado. Já reiniciei o roteador várias vezes. Ninguém conseguiu resolver meu problema até agora. Estou muito frustrado com o serviço. Vou avaliar outras opções.",2025-08-31 08:05:59
CLI015,"Boa tarde, eu já liguei antes sobre a lentidão da internet. Vocês mandaram um técnico que disse que estava tudo ok, mas o problema continua. Minha internet cai todo dia, principalmente à noite. Isso está afetando meu trabalho home office. Preciso de uma solução definitiva urgente. Quero uma solução definitiva.",2025-09-13 10:26:31
CLI015,"Estou ligando novamente sobre o problema técnico que nunca foi resolvido. Já é a terceira vez que ligo. Ficam me passando de setor em setor e ninguém resolve. A internet cai várias vezes ao dia, perco reuniões importantes. Estou seriamente pensando em cancelar o contrato. Preciso de retorno urgente.",2025-09-27 11:55:25
CLI015,"Olá, é a quarta vez que ligo sobre o mesmo problema. A internet ainda está instável, com quedas frequentes. Já pedi visita técnica duas vezes e o problema não foi resolvido. Paguei pelo serviço que não está funcionando. Isso é inaceitável. Quero um posicionamento definitivo senão vou cancelar. Já estou muito cansado de ligar.",2025-11-10 10:24:00
CLI015,"Boa tarde, liguei várias vezes e o problema persiste até hoje. Minha internet está completamente instável. Não consigo trabalhar, fazer videoconferências, nem usar streaming. Quero cancelar meu contrato imediatamente. Nunca mais vou indicar esta empresa para ninguém. Estou muito insatisfeito. Preciso de retorno urgente.",2025-11-13 12:59:50
CLI015,"Olá, quero registrar mais uma reclamação. A internet caiu novamente hoje e fica caindo toda semana. Vocês prometeram resolver mas nunca resolvem. Já estou procurando outras operadoras. Quero o contato do SAC. Preciso de retorno urgente.",2025-11-16 12:27:44
CLI016,"Bom dia, vou me mudar para outro bairro e gostaria de saber se vocês atendem a região. Preciso transferir meu contrato ou instalar um novo ponto no novo endereço. Quero uma solução definitiva.",2025-08-14 11:18:13
CLI016,"Boa tarde, já entrei em contato antes sobre a mudança de endereço. Meu novo endereço não tem cobertura de vocês. Preciso cancelar meu contrato pois vou para uma região que vocês não atendem. Já estou muito cansado de ligar.",2025-08-27 17:47:34
CLI016,"Olá, preciso cancelar meu serviço. Me mudei para outro município e infelizmente a empresa não tem cobertura no meu novo endereço. Foi uma boa experiência mas não tenho como continuar. Já estou muito cansado de ligar.",2025-09-05 19:20:03
CLI017,"Bom dia, estou ligando porque recebi uma fatura com valor muito acima do que contratei. Há cobranças que eu não reconheço. Já tentei resolver pelo aplicativo mas não consegui. Preciso que me expliquem essas cobranças indevidas. Já estou muito cansado de ligar.",2025-09-15 16:05:54
CLI017,"Boa tarde, já liguei no mês passado sobre a fatura errada e disseram que iam corrigir, mas essa mês vieram as mesmas cobranças indevidas novamente. Estou pagando por serviços que não contratei. Isso é um absurdo. Quero estorno imediato. Quero uma solução definitiva.",2025-09-22 09:38:04
CLI017,"Olá, quero falar sobre os reajustes absurdos na minha conta. A mensalidade aumentou mais de 30% sem me avisar corretamente. Outros operadores estão oferecendo o mesmo serviço por muito menos. Não tenho como continuar pagando esse valor. Preciso de uma proposta de redução.",2025-09-25 11:25:07
CLI017,Estou muito insatisfeito com a cobrança indevida que continua aparecendo na minha fatura. Já reclamei três vezes e nada foi resolvido. Vou pagar só o valor correto e quero cancelar os serviços adicionais que nunca solicitei. Vou avaliar outras opções.,2025-09-28 11:37:38
CLI017,"Bom dia, quero cancelar meu plano. O preço está muito alto comparado com a concorrência e o serviço não justifica o custo. Já recebi propostas muito melhores de outras operadoras. Quero efetuar o cancelamento hoje. Já estou muito cansado de ligar.",2025-11-08 17:05:26
CLI018,"Oi, estou ligando porque recebi uma proposta muito interessante de outra operadora com o dobro da velocidade pelo mesmo preço que pago aqui. Queria saber se vocês conseguem fazer uma contraproposta antes de eu cancelar. Isso está me causando muitos prejuízos.",2025-08-26 12:13:42
CLI018,"Bom dia, a operadora X está me oferecendo fibra óptica com muito mais velocidade e desconto especial para os três primeiros meses. O serviço de vocês já está me decepcionando há tempos. Quero saber o que vocês oferecem para me manter como cliente.",2025-08-28 13:15:16
CLI018,"Boa tarde, já tomei a decisão. A concorrente instalou a fibra na minha rua e o preço é muito melhor. Meu plano com vocês não está atendendo mais minhas necessidades e o preço está alto demais. Quero cancelar meu contrato. Preciso de retorno urgente.",2025-09-03 10:42:41
CLI019,"Boa tarde, estou ligando para reclamar do atendimento que recebi na semana passada. O atendente foi extremamente grosseiro e não quis me ajudar. Fiquei mais de uma hora esperando e ao final nada foi resolvido. Isso é inadmissível. Preciso de retorno urgente.",2025-09-23 17:36:06
CLI019,"Olá, liguei no dia 15 e o atendente desligou o telefone na minha cara. Já faz duas semanas que ninguém entrou em contato para resolver minha reclamação. Sinto que a empresa não se importa com os clientes. Estou muito decepcionado. Já estou muito cansado de ligar.",2025-10-11 16:13:32
CLI019,"Boa tarde, estou há mais de um mês tentando resolver um problema simples e cada vez que ligo preciso explicar tudo do zero. Nenhum atendente registra o histórico. É extremamente desgastante. Preciso falar com um supervisor urgente. Isso está me causando muitos prejuízos.",2025-11-11 10:59:22
CLI019,Estou perdendo a paciência. Já liguei cinco vezes e cada hora uma informação diferente. Ninguém sabe o que está acontecendo com minha solicitação. O atendimento é péssimo. Vou registrar reclamação no Procon se não resolverem hoje. Já estou muito cansado de ligar.,2025-11-19 11:23:18
CLI020,"Olá, estou ligando porque minha internet está extremamente lenta faz mais de uma semana. Fiz vários testes e a velocidade está muito abaixo do contratado. Já reiniciei o roteador várias vezes. Ninguém conseguiu resolver meu problema até agora. Estou muito frustrado com o serviço. Vou avaliar outras opções.",2025-09-02 08:42:52
CLI020,"Boa tarde, eu já liguei antes sobre a lentidão da internet. Vocês mandaram um técnico que disse que estava tudo ok, mas o problema continua. Minha internet cai todo dia, principalmente à noite. Isso está afetando meu trabalho home office. Preciso de uma solução definitiva urgente. Vou avaliar outras opções.",2025-09-07 12:59:42
CLI020,"Estou ligando novamente sobre o problema técnico que nunca foi resolvido. Já é a terceira vez que ligo. Ficam me passando de setor em setor e ninguém resolve. A internet cai várias vezes ao dia, perco reuniões importantes. Estou seriamente pensando em cancelar o contrato. Já estou muito cansado de ligar.",2025-09-16 10:16:07
CLI020,"Olá, é a quarta vez que ligo sobre o mesmo problema. A internet ainda está instável, com quedas frequentes. Já pedi visita técnica duas vezes e o problema não foi resolvido. Paguei pelo serviço que não está funcionando. Isso é inaceitável. Quero um posicionamento definitivo senão vou cancelar. Já estou muito cansado de ligar.",2025-09-29 19:35:09
CLI020,"Boa tarde, liguei várias vezes e o problema persiste até hoje. Minha internet está completamente instável. Não consigo trabalhar, fazer videoconferências, nem usar streaming. Quero cancelar meu contrato imediatamente. Nunca mais vou indicar esta empresa para ninguém. Estou muito insatisfeito. Isso está me causando muitos prejuízos.",2025-10-17 12:38:13
CLI021,"Bom dia, estou ligando porque recebi uma fatura com valor muito acima do que contratei. Há cobranças que eu não reconheço. Já tentei resolver pelo aplicativo mas não consegui. Preciso que me expliquem essas cobranças indevidas.",2025-08-12 12:32:31
CLI021,"Boa tarde, já liguei no mês passado sobre a fatura errada e disseram que iam corrigir, mas essa mês vieram as mesmas cobranças indevidas novamente. Estou pagando por serviços que não contratei. Isso é um absurdo. Quero estorno imediato. Isso está me causando muitos prejuízos.",2025-09-25 08:05:40
CLI021,"Olá, quero falar sobre os reajustes absurdos na minha conta. A mensalidade aumentou mais de 30% sem me avisar corretamente. Outros operadores estão oferecendo o mesmo serviço por muito menos. Não tenho como continuar pagando esse valor. Preciso de uma proposta de redução. Preciso de retorno urgente.",2025-10-12 12:02:00
CLI022,"Olá, estou ligando porque minha internet está extremamente lenta faz mais de uma semana. Fiz vários testes e a velocidade está muito abaixo do contratado. Já reiniciei o roteador várias vezes. Ninguém conseguiu resolver meu problema até agora. Estou muito frustrado com o serviço.",2025-08-30 15:35:45
CLI022,"Boa tarde, eu já liguei antes sobre a lentidão da internet. Vocês mandaram um técnico que disse que estava tudo ok, mas o problema continua. Minha internet cai todo dia, principalmente à noite. Isso está afetando meu trabalho home office. Preciso de uma solução definitiva urgente. Preciso de retorno urgente.",2025-10-17 16:00:07
CLI022,"Estou ligando novamente sobre o problema técnico que nunca foi resolvido. Já é a terceira vez que ligo. Ficam me passando de setor em setor e ninguém resolve. A internet cai várias vezes ao dia, perco reuniões importantes. Estou seriamente pensando em cancelar o contrato. Já estou muito cansado de ligar.",2025-10-30 19:57:09
CLI022,"Olá, é a quarta vez que ligo sobre o mesmo problema. A internet ainda está instável, com quedas frequentes. Já pedi visita técnica duas vezes e o problema não foi resolvido. Paguei pelo serviço que não está funcionando. Isso é inaceitável. Quero um posicionamento definitivo senão vou cancelar. Vou avaliar outras opções.",2025-11-03 08:53:23
CLI023,"Boa tarde, estou ligando para reclamar do atendimento que recebi na semana passada. O atendente foi extremamente grosseiro e não quis me ajudar. Fiquei mais de uma hora esperando e ao final nada foi resolvido. Isso é inadmissível. Quero uma solução definitiva.",2025-09-02 08:19:23
CLI023,"Olá, liguei no dia 15 e o atendente desligou o telefone na minha cara. Já faz duas semanas que ninguém entrou em contato para resolver minha reclamação. Sinto que a empresa não se importa com os clientes. Estou muito decepcionado. Já estou muito cansado de ligar.",2025-09-17 13:13:43
CLI023,"Boa tarde, estou há mais de um mês tentando resolver um problema simples e cada vez que ligo preciso explicar tudo do zero. Nenhum atendente registra o histórico. É extremamente desgastante. Preciso falar com um supervisor urgente. Quero uma solução definitiva.",2025-10-24 18:06:22
CLI024,"Oi, estou ligando porque recebi uma proposta muito interessante de outra operadora com o dobro da velocidade pelo mesmo preço que pago aqui. Queria saber se vocês conseguem fazer uma contraproposta antes de eu cancelar. Vou avaliar outras opções.",2025-08-26 19:09:59
CLI024,"Bom dia, a operadora X está me oferecendo fibra óptica com muito mais velocidade e desconto especial para os três primeiros meses. O serviço de vocês já está me decepcionando há tempos. Quero saber o que vocês oferecem para me manter como cliente. Quero uma solução definitiva.",2025-09-14 10:51:51
CLI025,"Bom dia, vou me mudar para outro bairro e gostaria de saber se vocês atendem a região. Preciso transferir meu contrato ou instalar um novo ponto no novo endereço.",2025-10-03 13:50:59
CLI025,"Boa tarde, já entrei em contato antes sobre a mudança de endereço. Meu novo endereço não tem cobertura de vocês. Preciso cancelar meu contrato pois vou para uma região que vocês não atendem. Preciso de retorno urgente.",2025-11-02 18:55:47
CLI025,"Olá, preciso cancelar meu serviço. Me mudei para outro município e infelizmente a empresa não tem cobertura no meu novo endereço. Foi uma boa experiência mas não tenho como continuar. Quero uma solução definitiva.",2025-11-21 12:10:50
